id,text,category,priority
4101,Suggest no plastic zone declaration for AB Road market,Sanitation,Low
4102,Suggest road divider plantation beautification at Kanadiya Road Kindly look into this matter.,Roads & Potholes,Low
4103,Massive deep pothole causing accidents at Scheme 54 highway Please take immediate action.,Roads & Potholes,High
4104,Generator backup not starting during cuts at Sanyogitaganj Residents are suffering.,Electricity,Medium
4105,Sewage entering residential area Sukhliya disease outbreak risk Please resolve urgently.,Sanitation,High
4106,Water meter not working billing issue at Sapna Sangeeta Road colony This has been ignored for long.,Water Issues,Medium
4107,Stray dogs menace near Nanda Nagar garbage dump biting people Please take immediate action.,Sanitation,Medium
4108,Transformer oil leaking fire hazard at Tilak Nagar substation Please resolve urgently.,Electricity,High
4109,Street light not working since 3 days at Juni Indore road Kindly look into this matter.,Electricity,Medium
4110,High voltage wire touching tree branches at Treasure Island Area risk Residents are suffering.,Electricity,High
4111,Suggest smart meters installation in Sanyogitaganj ward Residents are suffering.,Electricity,Low
4112,Street light timer wrong on at daytime at Juni Indore,Street Lights,Medium
4113,Water meter replacement requested for old meter at Chandan Nagar This has been ignored for long.,Water Issues,Low
4114,Short circuit sparks from street light pole at Bypass Road Kindly look into this matter.,Street Lights,High
4115,Street light not working since 5 days at Old Palasia Please take immediate action.,Street Lights,Medium
4116,Broken light pole fallen on road blocking traffic at Juni Indore,Street Lights,High
4117,Street light not working since 3 days at South Tukoganj road This is causing great inconvenience.,Electricity,Medium
4118,Request electricity connection for Marimata Chowk new plot,Electricity,Low
4119,Street light pole hit by vehicle sparking dangerously Nehru Nagar Please take immediate action.,Street Lights,High
4120,Road completely submerged under water impassable Tilak Nagar This is causing great inconvenience.,Roads & Potholes,High
4121,Road completely submerged under water impassable Marimata Chowk This has been ignored for long.,Roads & Potholes,High
4122,Half the street lights in Residency Area colony not working,Street Lights,Medium
4123,Multiple potholes on Vijay Nagar road causing vehicle damage Kindly look into this matter.,Roads & Potholes,Medium
4124,Open manhole cover missing accident risk at Musakhedi road,Roads & Potholes,High
4125,Suggest dustbin at Sector 12 park entrance gate Please resolve urgently.,Sanitation,Low
4126,Water connection pipe broken needs replacement at Regal Square This has been ignored for long.,Water Issues,Medium
4127,All street lights not working Bengali Square area completely dark,Street Lights,High
4128,Massive crater on main road vehicles damaged at Treasure Island Area,Roads & Potholes,High
4129,Suggest solar lights for LIG Colony park pathway Residents are suffering.,Electricity,Low
4130,Suggest composting unit for Rau wet waste Kindly look into this matter.,Sanitation,Low
4131,Request light in Scheme 54 park for evening walkers Residents are suffering.,Electricity,Low
4132,6 street lights broken on main road Old Palasia This is causing great inconvenience.,Street Lights,Medium
4133,Power cut for 7 hours continuously in Annapurna Road no supply Residents are suffering.,Electricity,High
4134,Suggest parking area demarcation at Bombay Hospital Road market Please take immediate action.,Roads & Potholes,Low
4135,Request public toilet construction near Polo Ground market Please take immediate action.,Sanitation,Low
4136,Electric short circuit fire sparks from box at Nipania This has been ignored for long.,Electricity,High
4137,Suggest monthly cleaning drive for MG Road ward,Sanitation,Low
4138,Underground pipeline leaking water gushing out at Rajendra Nagar Please take immediate action.,Water Issues,High
4139,Suggest monthly cleaning drive for Malharganj ward Residents are suffering.,Sanitation,Low
4140,Drain blocked water stagnating mosquitoes breeding Bombay Hospital Road,Sanitation,Medium
4141,Water meter replacement requested for old meter at Residency Area,Water Issues,Low
4142,Power fluctuation damaging appliances in Nanda Nagar homes Residents are suffering.,Electricity,Medium
4143,Public toilet dirty unhygienic condition at Sukhliya,Sanitation,Medium
4144,Request rainwater harvesting system for Agrawal Nagar colony Kindly look into this matter.,Water Issues,Low
4145,Suggest cycle track along Gandhi Nagar main road,Roads & Potholes,Low
4146,All street lights not working Airport Road area completely dark,Street Lights,High
4147,Suggest parking area demarcation at Bombay Hospital Road market Please take immediate action.,Roads & Potholes,Low
4148,Road shoulder eroded narrow dangerous at Vijay Nagar highway,Roads & Potholes,Medium
4149,Street light on during day wasting electricity at Bhawarkua Please resolve urgently.,Electricity,Medium
4150,Street light pole rusted leaning at Shivaji Nagar needs repair,Street Lights,Medium
4151,Stray wire sparking on road near Juni Indore school danger This has been ignored for long.,Electricity,High
4152,Suggest CCTV with lights at Annapurna Road entry point Please take immediate action.,Street Lights,Low
4153,Road marking lines faded invisible at Shivaji Nagar junction This has been ignored for long.,Roads & Potholes,Medium
4154,Request speed breaker installation near Regal Square school This is causing great inconvenience.,Roads & Potholes,Low
4155,Suggest zebra crossing painting at Dewas Naka junction,Roads & Potholes,Low
4156,Water meter replacement requested for old meter at Bijalpur,Water Issues,Low
4157,Road cave in sinkhole formed at Rajiv Gandhi Square near main market,Roads & Potholes,High
4158,Sewage pipeline burst waste water flooding AB Road area Residents are suffering.,Sanitation,High
4159,Entire Sapna Sangeeta Road colony dark for 5 nights crime risk high Kindly look into this matter.,Street Lights,High
4160,Request to increase water supply timing at Race Course Road,Water Issues,Low
4161,Request street light on newly built road at Bengali Square This has been ignored for long.,Street Lights,Low
4162,Drainage water stagnating mosquito breeding at LIG Colony,Sanitation,Medium
4163,CCTV cameras not working due to power issue at Vijay Nagar This is causing great inconvenience.,Electricity,Medium
4164,Deep trench dug left open no barrier at Rau road Please resolve urgently.,Roads & Potholes,High
4165,Massive crater on main road vehicles damaged at Shivaji Nagar This has been ignored for long.,Roads & Potholes,High
4166,Street light on during day wasting electricity at Chandan Nagar This is causing great inconvenience.,Electricity,Medium
4167,Sewage mixing in drinking water supply at Rajendra Nagar This is causing great inconvenience.,Water Issues,High
4168,Broken light pole fallen on road blocking traffic at Vijay Nagar Please take immediate action.,Street Lights,High
4169,Overhead wire hanging low touching vehicles at Geeta Bhawan This is causing great inconvenience.,Electricity,High
4170,Street light timer wrong on at daytime at Rajiv Gandhi Square Kindly look into this matter.,Street Lights,Medium
4171,Road completely washed out flooded impassable at Chandan Nagar Kindly look into this matter.,Roads & Potholes,High
4172,Road completely broken vehicles falling in crater at Sukhliya Please resolve urgently.,Roads & Potholes,High
4173,Short circuit sparks from street light pole at Pardesipura Residents are suffering.,Street Lights,High
4174,Suggest water conservation awareness in Juni Indore ward,Water Issues,Low
4175,Transformer blast fire sparks at Scheme 140 urgent needed This has been ignored for long.,Electricity,High
4176,Request additional power socket in Scheme 78 community hall,Electricity,Low
4177,Request public toilet construction near Old Palasia market Kindly look into this matter.,Sanitation,Low
4178,No water supply for 14 days in entire Sapna Sangeeta Road colony,Water Issues,High
4179,Suggest monthly cleaning drive for Bangali Chowk ward,Sanitation,Low
4180,Request new borewell installation in Sapna Sangeeta Road colony,Water Issues,Low
4181,Request additional dustbin near Juni Indore bus stop This is causing great inconvenience.,Sanitation,Low
4182,Electricity supply unstable voltage fluctuation Annapurna Road,Electricity,Medium
4183,Electric meter box burnt fire risk in Ring Road building,Electricity,High
4184,Underground pipeline leaking water gushing out at Vijay Nagar This has been ignored for long.,Water Issues,High
4185,Water meter replacement requested for old meter at Bangali Chowk Kindly look into this matter.,Water Issues,Low
4186,Dead animals decomposing on road health hazard at Sukhliya Kindly look into this matter.,Sanitation,High
4187,Road marking lines faded invisible at Pardesipura junction Please take immediate action.,Roads & Potholes,Medium
4188,Water supply timing irregular in Chandan Nagar ward Residents are suffering.,Water Issues,Medium
4189,Short circuit sparks from street light pole at Bombay Hospital Road Please resolve urgently.,Street Lights,High
4190,Suggest additional water tap point near Rajiv Gandhi Square park,Water Issues,Low
4191,Broken footpath Musakhedi elderly people falling risk This is causing great inconvenience.,Roads & Potholes,Medium
4192,Short circuit sparks from street light pole at Sukhliya Please resolve urgently.,Street Lights,High
4193,Power fluctuation damaging appliances in Sukhliya homes This has been ignored for long.,Electricity,Medium
4194,Street light not working since 2 days at Musakhedi road,Electricity,Medium
4195,Meter reading not done for 4 months in Rau Please resolve urgently.,Electricity,Medium
4196,Request electricity connection for Scheme 140 new plot This is causing great inconvenience.,Electricity,Low
4197,Request electricity connection for LIG Colony new plot,Electricity,Low
4198,Transformer blast fire sparks at Pardesipura urgent needed Kindly look into this matter.,Electricity,High
4199,Request solar street light for Bengali Square colony lane,Street Lights,Low
4200,Suggest smart meters installation in Bijalpur ward Kindly look into this matter.,Electricity,Low
4201,Water pressure very low only trickle coming in Airport Road,Water Issues,Medium
4202,Entire Palasia colony dark for 1 nights crime risk high Please resolve urgently.,Street Lights,High
4203,Massive deep pothole causing accidents at Lasudia highway Residents are suffering.,Roads & Potholes,High
4204,Street light timer wrong on at daytime at Chandan Nagar This is causing great inconvenience.,Street Lights,Medium
4205,1 street lights broken on main road Khajrana,Street Lights,Medium
4206,Bridge railing broken dangerous for vehicles at Malharganj,Roads & Potholes,High
4207,Request street light on newly built road at Khajrana,Street Lights,Low
4208,Street light timer wrong on at daytime at Bombay Hospital Road This is causing great inconvenience.,Street Lights,Medium
4209,Street light not working since 4 days at Ring Road Kindly look into this matter.,Street Lights,Medium
4210,Open drain overflowing sewage water entering homes at Bijalpur Kindly look into this matter.,Sanitation,High
4211,Suggest water conservation awareness in Kanadiya Road ward Please take immediate action.,Water Issues,Low
4212,Suggest dustbin at Residency Area park entrance gate Residents are suffering.,Sanitation,Low
4213,Leaking water tap wasting water on South Tukoganj main road This is causing great inconvenience.,Water Issues,Medium
4214,Electric pole fallen blocking entire road at Residency Area Please resolve urgently.,Electricity,High
4215,Water supply available only 5 hours daily in Scheme 54 Residents are suffering.,Water Issues,Medium
4216,Suggest smart meters installation in Geeta Bhawan ward This is causing great inconvenience.,Electricity,Low
4217,Flickering street light disturbing residents at Old Palasia Residents are suffering.,Street Lights,Medium
4218,Suggest underground cabling for Scheme 78 to avoid poles This is causing great inconvenience.,Electricity,Low
4219,Pothole near Dewas Naka school children at risk daily,Roads & Potholes,Medium
4220,High voltage wire touching tree branches at Musakhedi risk Please take immediate action.,Electricity,High
4221,Request reflector posts on Bhawarkua road curve,Roads & Potholes,Low
4222,Electric meter running fast overcharging Dewas Naka residents,Electricity,Medium
4223,Electric short circuit fire sparks from box at Malharganj Residents are suffering.,Electricity,High
4224,All street lights not working Gandhi Nagar area completely dark Residents are suffering.,Street Lights,High
4225,Road marking lines faded invisible at Sapna Sangeeta Road junction Please take immediate action.,Roads & Potholes,Medium
4226,Live electric wire fallen on road at MG Road danger to life,Electricity,High
4227,Generator backup not starting during cuts at Scheme 54 This has been ignored for long.,Electricity,Medium
4228,Road shoulder eroded narrow dangerous at Dewas Naka highway,Roads & Potholes,Medium
4229,Water pipeline burst near Sukhliya road flooded no supply,Water Issues,High
4230,Electricity bill very high despite less usage in Sapna Sangeeta Road This is causing great inconvenience.,Electricity,Medium
4231,Electric pole fallen blocking entire road at Rau,Electricity,High
4232,Street light not working since 6 days at Kanadiya Road road,Electricity,Medium
4233,CCTV cameras not working due to power issue at Nipania Kindly look into this matter.,Electricity,Medium
4234,Request tree planting drive in Sapna Sangeeta Road colony Residents are suffering.,Sanitation,Low
4235,Stray wire sparking on road near Lasudia school danger,Electricity,High
4236,Electric meter running fast overcharging Juni Indore residents Residents are suffering.,Electricity,Medium
4237,Open drain overflowing sewage water entering homes at MG Road,Sanitation,High
4238,Suggest solar lights for Scheme 140 park pathway This is causing great inconvenience.,Electricity,Low
4239,Request electricity connection for Sapna Sangeeta Road new plot Please take immediate action.,Electricity,Low
4240,Request new borewell installation in Bhanwarkua colony Please resolve urgently.,Water Issues,Low
4241,Stray wire sparking on road near Palasia school danger Please take immediate action.,Electricity,High
4242,Suggest dustbin at Bangali Chowk park entrance gate Residents are suffering.,Sanitation,Low
4243,Transformer blast fire sparks at Pardesipura urgent needed Residents are suffering.,Electricity,High
4244,Broken water main causing massive flooding near Regal Square Please resolve urgently.,Water Issues,High
4245,Rats infestation in Juni Indore colony garbage issue This is causing great inconvenience.,Sanitation,Medium
4246,Speed breaker broken uneven causing discomfort at Agrawal Nagar Residents are suffering.,Roads & Potholes,Medium
4247,Massive deep pothole causing accidents at Rajiv Gandhi Square highway Please resolve urgently.,Roads & Potholes,High
4248,Street light not working since 5 days at LIG Colony Please resolve urgently.,Street Lights,Medium
4249,Street light not working since 3 days at Polo Ground This is causing great inconvenience.,Street Lights,Medium
4250,Street lights dim not bright enough at Tilak Nagar road,Street Lights,Medium
4251,Electricity supply unstable voltage fluctuation Sanyogitaganj,Electricity,Medium
4252,Power cut for 1 hours continuously in Khajrana no supply This has been ignored for long.,Electricity,High
4253,Sewage water mixed in drinking water Old Palasia disease risk Please resolve urgently.,Water Issues,High
4254,Main pipeline burst water flooding Bhawarkua road completely,Water Issues,High
4255,Suggest underground cabling for Race Course Road to avoid poles,Electricity,Low
4256,Request public toilet construction near Bengali Square market Residents are suffering.,Sanitation,Low
4257,Electric meter running fast overcharging Scheme 140 residents Residents are suffering.,Electricity,Medium
4258,Transformer oil leaking fire hazard at Treasure Island Area substation This has been ignored for long.,Electricity,High
4259,Stray dogs menace near Dewas Naka garbage dump biting people Please resolve urgently.,Sanitation,Medium
4260,Road completely washed out flooded impassable at Scheme 78,Roads & Potholes,High
4261,Entire Race Course Road colony dark for 4 nights crime risk high,Street Lights,High
4262,Suggest water audit for Polo Ground ward reduce wastage,Water Issues,Low
4263,Street light timer wrong on at daytime at Race Course Road,Street Lights,Medium
4264,Water bill correction request for Marimata Chowk address,Water Issues,Low
4265,Loose wire hanging from pole at Khajrana needs fixing Please resolve urgently.,Electricity,Medium
4266,Suggest composting unit for Juni Indore wet waste,Sanitation,Low
4267,Street light pole hit by vehicle sparking dangerously Tilak Nagar Please resolve urgently.,Street Lights,High
4268,Street light pole rusted leaning at Sukhliya needs repair,Street Lights,Medium
4269,Water supply available only 7 hours daily in South Tukoganj Please take immediate action.,Water Issues,Medium
4270,Overhead tank dirty needs cleaning in Rajiv Gandhi Square colony,Water Issues,Medium
4271,Drainage water stagnating mosquito breeding at Agrawal Nagar,Sanitation,Medium
4272,No water supply for 6 days in entire Rajendra Nagar colony Please resolve urgently.,Water Issues,High
4273,Open defecation near Sukhliya school health emergency Please take immediate action.,Sanitation,High
4274,Leaking water tap wasting water on Sector 12 main road,Water Issues,Medium
4275,Main pipeline burst water flooding Bypass Road road completely Please resolve urgently.,Water Issues,High
4276,Request light in Bypass Road park for evening walkers This is causing great inconvenience.,Electricity,Low
4277,Street light not working since 2 days at Khajrana road This is causing great inconvenience.,Electricity,Medium
4278,Request new borewell installation in Race Course Road colony,Water Issues,Low
4279,5 street lights broken on main road Bhawarkua,Street Lights,Medium
4280,Suggest composting unit for Geeta Bhawan wet waste,Sanitation,Low
4281,Garbage not collected since 3 days in Residency Area colony Please resolve urgently.,Sanitation,Medium
4282,Drain blocked water stagnating mosquitoes breeding Nehru Nagar Kindly look into this matter.,Sanitation,Medium
4283,Suggest awareness campaign for Nipania cleanliness,Sanitation,Low
4284,Request for new water connection at Tilak Nagar plot,Water Issues,Low
4285,Request additional dustbin near South Tukoganj bus stop Residents are suffering.,Sanitation,Low
4286,No water supply for 5 days in entire AB Road colony,Water Issues,High
4287,Leaking water tap wasting water on Ring Road main road,Water Issues,Medium
4288,Open drain overflowing sewage water entering homes at Musakhedi This has been ignored for long.,Sanitation,High
4289,Broken light pole fallen on road blocking traffic at Pardesipura,Street Lights,High
4290,2 street lights broken on main road Regal Square Residents are suffering.,Street Lights,Medium
4291,Pipe leakage on road wasting water daily at Malharganj,Water Issues,Medium
4292,Traffic signal light not working properly at Rajiv Gandhi Square,Roads & Potholes,Medium
4293,Request electricity connection for Tilak Nagar new plot This has been ignored for long.,Electricity,Low
4294,Frequent power cuts 3 times daily affecting Sector 12 Residents are suffering.,Electricity,Medium
4295,Drain blocked water stagnating mosquitoes breeding Bangali Chowk,Sanitation,Medium
4296,Footpath tiles broken uneven at Kanadiya Road main road Please resolve urgently.,Roads & Potholes,Medium
4297,Power cut for 6 hours continuously in Old Palasia no supply,Electricity,High
4298,Request light timer adjustment for Ring Road street lights,Street Lights,Low
4299,Rats infestation in Sapna Sangeeta Road colony garbage issue Please take immediate action.,Sanitation,Medium
4300,Water quality slightly bad odour in Regal Square supply This has been ignored for long.,Water Issues,Medium
4301,Request new borewell installation in Juni Indore colony Please resolve urgently.,Water Issues,Low
4302,Electric meter box burnt fire risk in Race Course Road building,Electricity,High
4303,Suggest monthly cleaning drive for Ring Road ward This has been ignored for long.,Sanitation,Low
4304,Open manhole cover missing accident risk at Rau road,Roads & Potholes,High
4305,Water bill correction request for Annapurna Road address,Water Issues,Low
4306,New street light requested for dark lane at Bengali Square Residents are suffering.,Street Lights,Medium
4307,Electric meter box burnt fire risk in Bypass Road building Please take immediate action.,Electricity,High
4308,Request reflector posts on Sapna Sangeeta Road road curve,Roads & Potholes,Low
4309,Overhead tank dirty needs cleaning in Bhawarkua colony,Water Issues,Medium
4310,Bridge railing broken dangerous for vehicles at Scheme 78 Please take immediate action.,Roads & Potholes,High
4311,Suggest additional water tap point near Airport Road park Kindly look into this matter.,Water Issues,Low
4312,Request public toilet construction near Nipania market Residents are suffering.,Sanitation,Low
4313,Garbage vehicle not coming on schedule to Scheme 78 Please take immediate action.,Sanitation,Medium
4314,Road completely washed out flooded impassable at Malharganj Please take immediate action.,Roads & Potholes,High
4315,Water tanker not coming since 10 days Dewas Naka residents suffering Please resolve urgently.,Water Issues,High
4316,Street light pole hit by vehicle sparking dangerously Scheme 140 This is causing great inconvenience.,Street Lights,High
4317,Deep trench dug left open no barrier at Nipania road,Roads & Potholes,High
4318,Old pipeline replacement request for Regal Square lane Please take immediate action.,Water Issues,Low
4319,Suggest CCTV with lights at Regal Square entry point Residents are suffering.,Street Lights,Low
4320,Flyover crack damage urgent repair needed at Khajrana,Roads & Potholes,High
4321,Suggest road divider plantation beautification at Geeta Bhawan,Roads & Potholes,Low
4322,Water pipeline burst near Nehru Nagar road flooded no supply Kindly look into this matter.,Water Issues,High
4323,Overhead wire hanging low touching vehicles at Pardesipura,Electricity,High
4324,Request road widening for Sukhliya narrow lane This has been ignored for long.,Roads & Potholes,Low
4325,Street lights dim not bright enough at Scheme 78 road This is causing great inconvenience.,Street Lights,Medium
4326,Suggest parking area demarcation at Palasia market,Roads & Potholes,Low
4327,Suggest no plastic zone declaration for Treasure Island Area market,Sanitation,Low
4328,Massive crater on main road vehicles damaged at Nipania This has been ignored for long.,Roads & Potholes,High
4329,Power fluctuation damaging appliances in Rajendra Nagar homes,Electricity,Medium
4330,Request light timer adjustment for Bypass Road street lights,Street Lights,Low
4331,Request new borewell installation in Polo Ground colony This has been ignored for long.,Water Issues,Low
4332,Suggest CCTV with lights at Nipania entry point,Street Lights,Low
4333,Water quality slightly bad odour in Kanadiya Road supply Please take immediate action.,Water Issues,Medium
4334,Flickering street light disturbing residents at Annapurna Road Please resolve urgently.,Street Lights,Medium
4335,Main pipeline burst water flooding Sector 12 road completely Residents are suffering.,Water Issues,High
4336,Suggest composting unit for MG Road wet waste This has been ignored for long.,Sanitation,Low
4337,Overhead wire hanging low touching vehicles at Kanadiya Road This has been ignored for long.,Electricity,High
4338,Chemical waste dumped in Scheme 54 drain water contaminated Please resolve urgently.,Sanitation,High
4339,Request decorative lights for Residency Area main market,Street Lights,Low
4340,Open defecation near Nehru Nagar school health emergency Please take immediate action.,Sanitation,High
4341,Transformer oil leaking fire hazard at Bengali Square substation Please resolve urgently.,Electricity,High
4342,Transformer blast fire sparks at AB Road urgent needed This is causing great inconvenience.,Electricity,High
4343,Raw sewage flowing on street children playing LIG Colony,Sanitation,High
4344,Request tree planting drive in Scheme 140 colony This is causing great inconvenience.,Sanitation,Low
4345,Water meter replacement requested for old meter at Marimata Chowk Kindly look into this matter.,Water Issues,Low
4346,Water bill correction request for Rajiv Gandhi Square address This has been ignored for long.,Water Issues,Low
4347,Suggest smart street lighting for Bypass Road main road,Street Lights,Low
4348,Request solar street light for South Tukoganj colony lane This is causing great inconvenience.,Street Lights,Low
4349,Road completely broken vehicles falling in crater at Ring Road,Roads & Potholes,High
4350,Request additional power socket in Rau community hall,Electricity,Low
4351,Electricity bill very high despite less usage in Sector 12,Electricity,Medium
4352,Electricity supply unstable voltage fluctuation Regal Square,Electricity,Medium
4353,Street light pole hit by vehicle sparking dangerously Sukhliya Please resolve urgently.,Street Lights,High
4354,Street light timer wrong on at daytime at Old Palasia Kindly look into this matter.,Street Lights,Medium
4355,Road surface worn out needs resurfacing at Palasia Residents are suffering.,Roads & Potholes,Medium
4356,Drainage water stagnating mosquito breeding at Airport Road This has been ignored for long.,Sanitation,Medium
4357,Garbage vehicle not coming on schedule to Polo Ground Residents are suffering.,Sanitation,Medium
4358,Old pipeline replacement request for LIG Colony lane,Water Issues,Low
4359,Stray dogs menace near Nipania garbage dump biting people,Sanitation,Medium
4360,Electric short circuit fire sparks from box at Sapna Sangeeta Road Kindly look into this matter.,Electricity,High
4361,Pothole near MG Road school children at risk daily Residents are suffering.,Roads & Potholes,Medium
4362,Flickering street light disturbing residents at Gandhi Nagar Kindly look into this matter.,Street Lights,Medium
4363,Drainage water stagnating mosquito breeding at Shivaji Nagar,Sanitation,Medium
4364,Request to increase water supply timing at Shivaji Nagar This has been ignored for long.,Water Issues,Low
4365,Suggest LED replacement for old lights at Shivaji Nagar This is causing great inconvenience.,Electricity,Low
4366,Flickering street light disturbing residents at Nanda Nagar Please resolve urgently.,Street Lights,Medium
4367,Request cleaning of MG Road park pond water body Please resolve urgently.,Sanitation,Low
4368,Sewage mixing in drinking water supply at Chandan Nagar,Water Issues,High
4369,Chemical waste dumped in Polo Ground drain water contaminated,Sanitation,High
4370,Live electric wire fallen on road at Lasudia danger to life Kindly look into this matter.,Electricity,High
4371,Meter reading not done for 4 months in Ring Road Please take immediate action.,Electricity,Medium
4372,Sewage mixing in drinking water supply at Tilak Nagar,Water Issues,High
4373,Road marking lines faded invisible at Lasudia junction Please resolve urgently.,Roads & Potholes,Medium
4374,Leaking water tap wasting water on Vijay Nagar main road This has been ignored for long.,Water Issues,Medium
4375,Suggest festive lighting plan for Race Course Road market area,Street Lights,Low
4376,All street lights not working Vijay Nagar area completely dark,Street Lights,High
4377,Suggest composting unit for Sapna Sangeeta Road wet waste This is causing great inconvenience.,Sanitation,Low
4378,Potholes on Treasure Island Area road causing tyre punctures daily Kindly look into this matter.,Roads & Potholes,Medium
4379,Garbage vehicle not coming on schedule to Sukhliya,Sanitation,Medium
4380,Massive crater on main road vehicles damaged at Agrawal Nagar Please take immediate action.,Roads & Potholes,High
4381,Request speed breaker installation near MG Road school,Roads & Potholes,Low
4382,Potholes on Kanadiya Road road causing tyre punctures daily,Roads & Potholes,Medium
4383,Open drain overflowing sewage water entering homes at Chandan Nagar,Sanitation,High
4384,Sewage pipeline burst waste water flooding Geeta Bhawan area This is causing great inconvenience.,Sanitation,High
4385,Pipe leakage on road wasting water daily at Kanadiya Road,Water Issues,Medium
4386,Street light timer wrong on at daytime at Dewas Naka This has been ignored for long.,Street Lights,Medium
4387,Sewage water mixed in drinking water Residency Area disease risk,Water Issues,High
4388,Request decorative lights for Old Palasia main market Please resolve urgently.,Street Lights,Low
4389,Suggest additional water tap point near Musakhedi park Please take immediate action.,Water Issues,Low
4390,Road divider collapsed blocking lanes at Scheme 140 highway Please resolve urgently.,Roads & Potholes,High
4391,Old pipeline replacement request for Polo Ground lane Residents are suffering.,Water Issues,Low
4392,High voltage wire touching tree branches at Tilak Nagar risk,Electricity,High
4393,Street light pole hit by vehicle sparking dangerously Bypass Road,Street Lights,High
4394,Stray wire sparking on road near Gandhi Nagar school danger Please resolve urgently.,Electricity,High
4395,Power cut during peak hours daily problem at Airport Road Please take immediate action.,Electricity,Medium
4396,Suggest smart meters installation in Race Course Road ward Please take immediate action.,Electricity,Low
4397,Overhead tank dirty needs cleaning in Gandhi Nagar colony,Water Issues,Medium
4398,Suggest underground cabling for Sukhliya to avoid poles Please resolve urgently.,Electricity,Low
4399,All street lights not working Musakhedi area completely dark Please take immediate action.,Street Lights,High
4400,Garbage piling up for 6 days no collection Dewas Naka,Sanitation,Medium
4401,Open drain overflowing sewage water entering homes at Bijalpur,Sanitation,High
4402,Street light pole rusted leaning at South Tukoganj needs repair Please resolve urgently.,Street Lights,Medium
4403,Transformer blast fire sparks at Old Palasia urgent needed Please take immediate action.,Electricity,High
4404,Request additional power socket in Scheme 78 community hall Kindly look into this matter.,Electricity,Low
4405,Toxic waste dumped illegally near Bombay Hospital Road water body,Sanitation,High
4406,Request decorative lights for Malharganj main market This has been ignored for long.,Street Lights,Low
4407,Short circuit sparks from street light pole at Bhawarkua Residents are suffering.,Street Lights,High
4408,Deep trench dug left open no barrier at Gandhi Nagar road,Roads & Potholes,High
4409,Power cut during peak hours daily problem at Bhanwarkua,Electricity,Medium
4410,Main pipeline burst water flooding Pardesipura road completely,Water Issues,High
4411,Overhead tank dirty needs cleaning in Scheme 140 colony Please resolve urgently.,Water Issues,Medium
4412,Chemical waste dumped in Nanda Nagar drain water contaminated Kindly look into this matter.,Sanitation,High
4413,Footpath tiles broken uneven at Nanda Nagar main road This has been ignored for long.,Roads & Potholes,Medium
4414,Flickering street light disturbing residents at Scheme 78,Street Lights,Medium
4415,Construction debris dumped illegally at Musakhedi road,Sanitation,Medium
4416,Request additional dustbin near Scheme 54 bus stop Please resolve urgently.,Sanitation,Low
4417,Construction debris dumped illegally at Regal Square road Please take immediate action.,Sanitation,Medium
4418,7 street lights broken on main road Annapurna Road This is causing great inconvenience.,Street Lights,Medium
4419,Water connection pipe broken needs replacement at Marimata Chowk Residents are suffering.,Water Issues,Medium
4420,CCTV cameras not working due to power issue at MG Road This is causing great inconvenience.,Electricity,Medium
4421,Sewage entering residential area South Tukoganj disease outbreak risk This is causing great inconvenience.,Sanitation,High
4422,Toxic waste dumped illegally near Palasia water body This has been ignored for long.,Sanitation,High
4423,Request decorative lights for MG Road main market Kindly look into this matter.,Street Lights,Low
4424,Water supply timing irregular in Dewas Naka ward,Water Issues,Medium
4425,Massive crater on main road vehicles damaged at Polo Ground This is causing great inconvenience.,Roads & Potholes,High
4426,Sewage mixing in drinking water supply at Bangali Chowk,Water Issues,High
4427,Suggest energy audit for Sapna Sangeeta Road ward buildings,Electricity,Low
4428,Garbage dump fire toxic smoke affecting Bijalpur residents,Sanitation,High
4429,Construction debris dumped illegally at Lasudia road This is causing great inconvenience.,Sanitation,Medium
4430,Leaking water tap wasting water on Khajrana main road Kindly look into this matter.,Water Issues,Medium
4431,Main pipeline burst water flooding AB Road road completely,Water Issues,High
4432,Stray wire sparking on road near Dewas Naka school danger Residents are suffering.,Electricity,High
4433,Half the street lights in Polo Ground colony not working,Street Lights,Medium
4434,Garbage segregation not done by vehicle at Gandhi Nagar This has been ignored for long.,Sanitation,Medium
4435,Public toilet dirty unhygienic condition at AB Road This has been ignored for long.,Sanitation,Medium
4436,Leaking water tap wasting water on Nipania main road,Water Issues,Medium
4437,Sewage mixing in drinking water supply at Juni Indore Residents are suffering.,Water Issues,High
4438,Request light timer adjustment for Old Palasia street lights Please take immediate action.,Street Lights,Low
4439,Drainage water stagnating mosquito breeding at Gandhi Nagar This has been ignored for long.,Sanitation,Medium
4440,Road repairs done poorly broken again within 10 days This is causing great inconvenience.,Roads & Potholes,Medium
4441,Entire Bypass Road colony dark for 3 nights crime risk high Please take immediate action.,Street Lights,High
4442,Garbage dump fire toxic smoke affecting Airport Road residents,Sanitation,High
4443,Broken footpath Agrawal Nagar elderly people falling risk,Roads & Potholes,Medium
4444,No potable water available entire Rau ward for 7 days,Water Issues,High
4445,Dustbin overflowing garbage spilling on road at Sanyogitaganj,Sanitation,Medium
4446,Garbage dump fire toxic smoke affecting Regal Square residents This is causing great inconvenience.,Sanitation,High
4447,Request solar street light for Nanda Nagar colony lane This is causing great inconvenience.,Street Lights,Low
4448,Half the street lights in Agrawal Nagar colony not working Please resolve urgently.,Street Lights,Medium
4449,Water supply completely stopped since 6 days in Khajrana,Water Issues,High
